Платформа	Наша услуга (SMMPlan)	SMMPlan Цена₽	Vexboost ID	Vexboost Название	Vexboost Цена₽	Vex Min	Vex Max	Likedrom ID	Likedrom Название	Likedrom Цена₽	Likedrom Min	Likedrom Max	Likedrom Score	Smmpanel Us ID	Smmpanel Us Название	Smmpanel Us Цена₽	Smmpanel Us Min	Smmpanel Us Max	Smmpanel Us Score	SmmPrime ID	SmmPrime Название	SmmPrime Цена₽	SmmPrime Min	SmmPrime Max	SmmPrime Score	Soc-Proof ID	Soc-Proof Название	Soc-Proof Цена₽	Soc-Proof Min	Soc-Proof Max	Soc-Proof Score	SocRocket ID	SocRocket Название	SocRocket Цена₽	SocRocket Min	SocRocket Max	SocRocket Score	Stream Promotion ID	Stream Promotion Название	Stream Promotion Цена₽	Stream Promotion Min	Stream Promotion Max	Stream Promotion Score	Telegram.shop ID	Telegram.shop Название	Telegram.shop Цена₽	Telegram.shop Min	Telegram.shop Max	Telegram.shop Score
Telegram	Звёзды (Stars)	2713.2	2107	Telegram Звезды на профиль	1808.7987	50	50000													1047	1047. Звезды (Stars) ⭐️ в профиль	3538.30	50	1000000	2													31618	TG Звезды [Профиль | 0-12/Ч | 100К/Д | Без Списаний | Без Гарантии]	16.74	50	1000000	2						
Telegram	Звёзды (Stars)	2875.3	2281	Telegram Звезды на пост	1916.867	1	10000							35891	Telegram — Просмотры постов / 👁️🤖 Дешевые	2.38	50	50000	2																			32117	TG Звезды [Пост | 0-1/Ч | 50К/Д | Без Списаний | Без Гарантии]	16.74	1	50000	2						
YouTube	Зрители в эфир (Зрители на 120 минут)	91.75	2266	YouTube Зрители [120 Минут][Старт до 120 минут]	61.1662	50	250000							30160	YouTube — Зрители на прямой эфир 🔴👀 / Удержание 15 минут	14.25	100	50000	4	637	637. Twitch Зрители прямой трансляции - Авто гео🌍[В течение 120 минут]	950.00	5	1000	5	541	ғʙ Зрители в прямой эфир ( 30 минут )	212.00	20	1000	3	254	Зрители - 120 мин ⚡️⚡️	56.00	50	50000	3	29092	YT Зрители [30 Минут | 0-120/М | Нестабильные | Мало Просмотров]	0.11	100	1000000	5						
TikTok	Зрители в эфир (Зрители на 120 минут)	9474.31	2951	TikTok Зрители на трансляцию [120 Минут]	6316.2072	50	10000							29843	TikTok — Зрители на Стрим / ⏳ Удержание 15 минут	142.50	20	5000	3	921	921. Tiktok Live зрители (~15 минут)	93.63	50000	100000000	3	541	ғʙ Зрители в прямой эфир ( 30 минут )	212.00	20	1000	2	254	Зрители - 120 мин ⚡️⚡️	56.00	50	50000	2	28743	TikTok Зрители [120 Минут | 0-30/М | Плавное Раcхождение 50%]	61.75	50	10000	7						
TikTok	Зрители в эфир (Зрители на 15 минут)	1184.29	2947	TikTok Зрители на трансляцию [15 Минут]	789.5259	50	10000							29843	TikTok — Зрители на Стрим / ⏳ Удержание 15 минут	142.50	20	5000	3	921	921. Tiktok Live зрители (~15 минут)	93.63	50000	100000000	3	541	ғʙ Зрители в прямой эфир ( 30 минут )	212.00	20	1000	2							28740	TikTok Зрители [30 Минут | 0-30/М | Плавное Раcхождение 50%]	15.44	50	10000	6						
YouTube	Зрители в эфир (Зрители на 15 минут)	137.64	2267	YouTube Зрители [180 Минут][Старт до 120 минут]	91.7619	50	250000							30160	YouTube — Зрители на прямой эфир 🔴👀 / Удержание 15 минут	14.25	100	50000	4	637	637. Twitch Зрители прямой трансляции - Авто гео🌍[В течение 120 минут]	950.00	5	1000	4	541	ғʙ Зрители в прямой эфир ( 30 минут )	212.00	20	1000	3	254	Зрители - 120 мин ⚡️⚡️	56.00	50	50000	2	29089	YT Зрители [180 Минут | 0-120/М | Нестабильные | Мало Просмотров]	0.64	100	1000000	5						
TikTok	Зрители в эфир (Зрители на 180 минут)	14211.47	2952	TikTok Зрители на трансляцию [180 Минут]	9474.3108	50	10000							29843	TikTok — Зрители на Стрим / ⏳ Удержание 15 минут	142.50	20	5000	3	921	921. Tiktok Live зрители (~15 минут)	93.63	50000	100000000	3	541	ғʙ Зрители в прямой эфир ( 30 минут )	212.00	20	1000	2	257	Зрители - 180 мин ⚡️⚡️	84.00	50	50000	2	28744	TikTok Зрители [180 Минут | 0-30/М | Плавное Раcхождение 50%]	92.63	50	10000	7						
YouTube	Зрители в эфир (Зрители на 180 минут)	137.64	2267	YouTube Зрители [180 Минут][Старт до 120 минут]	91.7619	50	250000							30160	YouTube — Зрители на прямой эфир 🔴👀 / Удержание 15 минут	14.25	100	50000	4	637	637. Twitch Зрители прямой трансляции - Авто гео🌍[В течение 120 минут]	950.00	5	1000	4	541	ғʙ Зрители в прямой эфир ( 30 минут )	212.00	20	1000	3	254	Зрители - 120 мин ⚡️⚡️	56.00	50	50000	2	29089	YT Зрители [180 Минут | 0-120/М | Нестабильные | Мало Просмотров]	0.64	100	1000000	5						
TikTok	Зрители в эфир (Зрители на 240 минут)	18948.62	2953	TikTok Зрители на трансляцию [240 Минут]	12632.4144	50	10000							29843	TikTok — Зрители на Стрим / ⏳ Удержание 15 минут	142.50	20	5000	3	921	921. Tiktok Live зрители (~15 минут)	93.63	50000	100000000	3	541	ғʙ Зрители в прямой эфир ( 30 минут )	212.00	20	1000	2							28745	TikTok Зрители [240 Минут | 0-30/М | Плавное Раcхождение 50%]	123.50	50	10000	7						
YouTube	Зрители в эфир (Зрители на 30 минут)	22.95	2264	YouTube Зрители [30 Минут][Старт до 120 минут]	15.2979	50	250000							30160	YouTube — Зрители на прямой эфир 🔴👀 / Удержание 15 минут	14.25	100	50000	4	637	637. Twitch Зрители прямой трансляции - Авто гео🌍[В течение 120 минут]	950.00	5	1000	4	541	ғʙ Зрители в прямой эфир ( 30 минут )	212.00	20	1000	3	254	Зрители - 120 мин ⚡️⚡️	56.00	50	50000	2	29092	YT Зрители [30 Минут | 0-120/М | Нестабильные | Мало Просмотров]	0.11	100	1000000	4						
TikTok	Зрители в эфир (Зрители на 30 минут)	2368.58	2948	TikTok Зрители на трансляцию [30 Минут]	1579.0518	50	10000							29843	TikTok — Зрители на Стрим / ⏳ Удержание 15 минут	142.50	20	5000	3	921	921. Tiktok Live зрители (~15 минут)	93.63	50000	100000000	3	541	ғʙ Зрители в прямой эфир ( 30 минут )	212.00	20	1000	2							28740	TikTok Зрители [30 Минут | 0-30/М | Плавное Раcхождение 50%]	15.44	50	10000	6						
TikTok	Зрители в эфир (Зрители на 60 минут)	4737.16	2949	TikTok Зрители на трансляцию [60 Минут]	3158.1036	50	10000							29843	TikTok — Зрители на Стрим / ⏳ Удержание 15 минут	142.50	20	5000	3	921	921. Tiktok Live зрители (~15 минут)	93.63	50000	100000000	3	541	ғʙ Зрители в прямой эфир ( 30 минут )	212.00	20	1000	2							28740	TikTok Зрители [30 Минут | 0-30/М | Плавное Раcхождение 50%]	15.44	50	10000	6						
YouTube	Зрители в эфир (Зрители на 60 минут)	45.87	2265	YouTube Зрители [60 Минут][Старт до 120 минут]	30.5831	50	250000							30160	YouTube — Зрители на прямой эфир 🔴👀 / Удержание 15 минут	14.25	100	50000	4	637	637. Twitch Зрители прямой трансляции - Авто гео🌍[В течение 120 минут]	950.00	5	1000	4	541	ғʙ Зрители в прямой эфир ( 30 минут )	212.00	20	1000	3	254	Зрители - 120 мин ⚡️⚡️	56.00	50	50000	2	29092	YT Зрители [30 Минут | 0-120/М | Нестабильные | Мало Просмотров]	0.11	100	1000000	4						
TikTok	Зрители в эфир (Зрители на 90 минут)	7105.73	2950	TikTok Зрители на трансляцию [90 Минут]	4737.1554	50	10000							29843	TikTok — Зрители на Стрим / ⏳ Удержание 15 минут	142.50	20	5000	3	921	921. Tiktok Live зрители (~15 минут)	93.63	50000	100000000	3	541	ғʙ Зрители в прямой эфир ( 30 минут )	212.00	20	1000	2							28740	TikTok Зрители [30 Минут | 0-30/М | Плавное Раcхождение 50%]	15.44	50	10000	6						
Twitch	Зрители на стрим (На 10 минут)	1812.28	2808	🇷🇺Twitch Зрители [3 Часа][С просмотрами][Удержание 5 минут][100% Авторизации][Россия]	1208.1894	5	10000							40696	Twitch Live Stream | Зрители [Россия 🇷🇺] [Удержание: 2 часа]	446.50	5	10000	8	1100	1100. Twitch Зрители прямой трансляции [В течение 300 минут]	7125.00	25	5000	4	541	ғʙ Зрители в прямой эфир ( 30 минут )	212.00	20	1000	2							25507	Зрители Twitch [2 часа | Дроп 0-10% | С просмотрами | Удержание 5 минут | 100% Авторизации | Россия]	5.70	5	100000	9						
Twitch	Зрители на стрим (На 120 минут)	1812.28	2808	🇷🇺Twitch Зрители [3 Часа][С просмотрами][Удержание 5 минут][100% Авторизации][Россия]	1208.1894	5	10000							40696	Twitch Live Stream | Зрители [Россия 🇷🇺] [Удержание: 2 часа]	446.50	5	10000	8	1100	1100. Twitch Зрители прямой трансляции [В течение 300 минут]	7125.00	25	5000	4	541	ғʙ Зрители в прямой эфир ( 30 минут )	212.00	20	1000	2							25507	Зрители Twitch [2 часа | Дроп 0-10% | С просмотрами | Удержание 5 минут | 100% Авторизации | Россия]	5.70	5	100000	9						
Twitch	Зрители на стрим (На 20 минут)	1812.28	2808	🇷🇺Twitch Зрители [3 Часа][С просмотрами][Удержание 5 минут][100% Авторизации][Россия]	1208.1894	5	10000							40696	Twitch Live Stream | Зрители [Россия 🇷🇺] [Удержание: 2 часа]	446.50	5	10000	8	1100	1100. Twitch Зрители прямой трансляции [В течение 300 минут]	7125.00	25	5000	4	541	ғʙ Зрители в прямой эфир ( 30 минут )	212.00	20	1000	2							25507	Зрители Twitch [2 часа | Дроп 0-10% | С просмотрами | Удержание 5 минут | 100% Авторизации | Россия]	5.70	5	100000	9						
Twitch	Зрители на стрим (На 30 минут)	1812.28	2808	🇷🇺Twitch Зрители [3 Часа][С просмотрами][Удержание 5 минут][100% Авторизации][Россия]	1208.1894	5	10000							40696	Twitch Live Stream | Зрители [Россия 🇷🇺] [Удержание: 2 часа]	446.50	5	10000	8	1100	1100. Twitch Зрители прямой трансляции [В течение 300 минут]	7125.00	25	5000	4	541	ғʙ Зрители в прямой эфир ( 30 минут )	212.00	20	1000	2							25507	Зрители Twitch [2 часа | Дроп 0-10% | С просмотрами | Удержание 5 минут | 100% Авторизации | Россия]	5.70	5	100000	9						
Twitch	Зрители на стрим (На 60 минут)	1812.28	2808	🇷🇺Twitch Зрители [3 Часа][С просмотрами][Удержание 5 минут][100% Авторизации][Россия]	1208.1894	5	10000							40696	Twitch Live Stream | Зрители [Россия 🇷🇺] [Удержание: 2 часа]	446.50	5	10000	8	1100	1100. Twitch Зрители прямой трансляции [В течение 300 минут]	7125.00	25	5000	4	541	ғʙ Зрители в прямой эфир ( 30 минут )	212.00	20	1000	2							25507	Зрители Twitch [2 часа | Дроп 0-10% | С просмотрами | Удержание 5 минут | 100% Авторизации | Россия]	5.70	5	100000	9						
TikTok	Комментарии (Позитивные)	10	2904	TikTok Лайки [Без гарантии] [Быстрые]	4.1361	10	1000000							33488	TikTok (TT) | Лайки [Быстрые]	29.45	10	100000	3	919	919. Tiktok Live лайки	17.86	100	50000000	2	364	ɪɢ Автолайки реальные (быстрые)	24.00	10	500000	2	425	Лайки - Быстрые ⚡️⚡️	10.00	10	1000000	5	234	TikTok Лайки [Дешевые | 0-3/Ч | 5К/Д | Списания Возможны | Без Гарантии]	0.02	10	1000000	6						
Вконтакте	Комментарии (Премиум)	7481.25	3075	Wibes Репосты в ВКонтакте [Живые]	4987.5	30	1000							37779	Вирусный Пакет для Wibes (Лайки + Репосты + Комменты) | ✅ Живые люди	1805.00	1	1	3	1072	1072. Wibes Лайки живые, медленные	9000.00	5	200	2	100	ᴛᴛ Репосты (сохранения) живые Ru	130.00	10	50000	2							33839	Wibes Лайки [Живые | Вайб/Пост | 0-12/Ч | 50/Д | Списания Возможны | Без Гарантии]	6.53	1	10000	2						
Яндекс Дзен	Комментарии (Премиум)	435.82	2533	Telegram Онлайн подписчики [Читайте Описание]	290.5455	100	5000							38419	Telegram | Подписчики в бот (⭐️ Premium Users) [5 дней / ♻️ Гарантия] [🇷🇺 Россия]	692.55	100	5000	5	747	747. TG Подписчики РФ Живые + Онлайн + Топ⭐⭐⭐🌱 - ЧИТАТЬ ОПИСАНИЕ	4000.00	10	2000	3	105	ᴛɢ 🇷🇺 Онлайн русские подписчики ⟮ ♻ ʀ 30 ⟯	124.00	10	100000	2	351	Реакции - Кастомные (Читайте описание) ⚡️	9.00	1	10000	2	2881	TG Подписчики [Онлайн | 0-30/М | 70K/Д | Списания Возможны | Без Гарантии]	1.47	100	50000	2						
Instagram	Комментарии (Премиум)	36.92	2302	Instagram Комментарии [Свои] [Лучшая цена]	24.6133	10	100000							37894	Просмотры для YouTube | Киносайты и Стриминг 🎬 | Мин. 1.2 Млн (Мега Опт) | Лучшая Цена 📉	90.25	1200000	600000000	2																														
MAX	Комментарии (Премиум)	8581.89	2684	Max Подписчики Чат/Канал [Реальные люди до 1000 в сутки]	5721.2612	30	10000							37672	MAX (max.ru) — Подписчики на канал / 💯 Реальные пользователи	9500.00	5	500	4	1213	1213. Макс/MAX подписчики в канал #1 - гарантия 30 дней	1590.00	10	30000	3	786	Max подписчики в канал ⟮ ♻ ʀ 30 ⟯	530.00	10	10000	3							34293	MAX Подписчики [HQ | База 20К | 0-1/Ч | 1000/Д | Списания Возможны | Гарантия 30Д] 	7.77	1	50000	3						
Telegram	Комментарии (Рандомные комментарии)	284.23	2187	🇨🇳 Telegram Комментарии [Случайные][Китай]	189.4862	10	200000							36062	Telegram — Случайные комментарии (🇷🇺 Русский | Боты)	570.00	15	3000	3							1354	ᴛɢ 🇨🇳 Китайские комментарии	156.00	10	200000	5							32137	TG Комментарии [Китай | Пост | Рандомные | 0-1/Ч | 10К/Д | Возможны Списания | Без Гарантии]	3.00	10	200000	5						
Twitter (x)	Комментарии (Случайные (Арабские)	8532.56	2431	Twitter Случайные комментарии [Арабские] [Без Списаний] [Реальные]	5688.3762	5	1000							37752	TikTok — Лайки на комментарии / ❤️💬💯 Реальные пользователи	7600.00	5	1000	5							709	ᴛɢ ⭐ Реальные подписчики ⟮ без списаний ⟯	104.00	500	100000	2							157	Twitter Комментарии Настраиваемые [5 Комментариев | HQ | 0-2/Ч | Списания Возможны | Без Гарантии]	0.26	1	1	2						
Twitter (x)	Комментарии (Случайные (Гремания)	8532.56	2429	Twitter Случайные комментарии [Германия] [Без Списаний] [Реальные]	5688.3762	5	1000							37752	TikTok — Лайки на комментарии / ❤️💬💯 Реальные пользователи	7600.00	5	1000	5							709	ᴛɢ ⭐ Реальные подписчики ⟮ без списаний ⟯	104.00	500	100000	2							31822	Twitter Просмотры [X.com | HQ | Германия | Видео | 0-1/Ч |100К/Д | Списания Возможны | Без Гарантии]	0.02	100	50000000	2						
Twitter (x)	Комментарии (Случайные (Россия)	8532.56	2432	Twitter Случайные комментарии [Россия] [Без Списаний] [Реальные]	5688.3762	5	1000							37752	TikTok — Лайки на комментарии / ❤️💬💯 Реальные пользователи	7600.00	5	1000	5							1190	ᴛɢ 🇷🇺 Авто репосты реальные ⟮ Россия ⟯	7.00	10	5000	2							31826	Twitter Просмотры [X.com | HQ | Россия | Видео | 0-1/Ч |100К/Д | Списания Возможны | Без Гарантии]	0.02	100	50000000	2						
Likee	Комментарии (Случайные / Рандомные)	10	2050	Telegram Реакция [🤓]	1.2306	10	130000							28516	Telegram (TG) | Реакция [Сердце любви: ❤️]	19.00	1	150000	2																														
Яндекс Дзен	Комплексное продвижение (Подписчики + Лайки + Дочитывания (20 секунд)	320.23	2540	Telegram Онлайн подписчики + случайные сообщения [RU+EN]	213.4878	100	50000							35692	Telegram | Онлайн подписчики [Глобал]	270.75	10	50000	3	1082	1082. TG Подписчики РФ [Гарантия 30 дней] + ОНЛАЙН⭐⭐⭐	280.00	10	100000	2	105	ᴛɢ 🇷🇺 Онлайн русские подписчики ⟮ ♻ ʀ 30 ⟯	124.00	10	100000	2	397	Подписчики RU - Онлайн ⚡️⚡️⚡️	169.00	10	100000	2	2881	TG Подписчики [Онлайн | 0-30/М | 70K/Д | Списания Возможны | Без Гарантии]	1.47	100	50000	5						
Вконтакте	Лайки (Лайки на комментарии)	7481.25	3075	Wibes Репосты в ВКонтакте [Живые]	4987.5	30	1000							37779	Вирусный Пакет для Wibes (Лайки + Репосты + Комменты) | ✅ Живые люди	1805.00	1	1	3	1072	1072. Wibes Лайки живые, медленные	9000.00	5	200	2	100	ᴛᴛ Репосты (сохранения) живые Ru	130.00	10	50000	2							33839	Wibes Лайки [Живые | Вайб/Пост | 0-12/Ч | 50/Д | Списания Возможны | Без Гарантии]	6.53	1	10000	2						
TikTok	Лайки (Очень эконом)	30.26	2956	TikTok Лайки + Просмотры [Высокое качество аккаунтов][Гарантия 30]	20.1711	10	5000000							37746	TikTok — Лайки на Стрим ❤️🔴 / ⭐ Высокое качество	9.50	10	400000	4	825	825. ВК Лайки Женские РФ + Гарантия [Высокое качество]♻️⭐⭐⭐🌱	875.00	100	5000	4	900	ᴛᴛ Живые просмотры + лайки из поиска	1700.00	50	20000	2	93	Stories - Просмотры + Охват + Лайки [Все] ⚡️ ★	22.00	10	5000	2	31396	TikTok Подписчики [Живые | 0-1/Ч | 1К/Д | Списания Возможны | Гарантия 90Д]	4.20	10	5000000	5						
Вконтакте	Лайки (Премиум)	5684.59	2069	🇺🇸 Telegram Premium Участники [США] [По ссылке] [Просмотры от подписчиков]	3789.7243	10	50000							36146	Telegram — Просмотры постов (🇺🇸 США) / 👁️🛡️ Стабильные	7.60	10	50000	6	741	741. TG Живые Просмотры США (🇺🇸) + Статистика	3.97	50	500000	2	757	ᴛɢ 🇺🇸 Премиум просмотры для поиска США	52.00	10	50000	5	315	Telegram Premium - Подписчики (Из поиска) (7 дн) ⚡️⚡️ ★	299.00	50	100000	2	32205	TG Премиум Подписчики [+Просмотры от Подписчиков | США | 0-30/М | 1К/Ч | Без Списаний | Гарантия 30Д]	42.00	10	50000	6	65	💎 Telegram PREMIUM Members + Online | 3 days	1.59	10	20000	2
Likee	Лайки (Премиум)	10	2047	Telegram Реакция [🌭]	1.2306	10	130000							28516	Telegram (TG) | Реакция [Сердце любви: ❤️]	19.00	1	150000	2																														
Одноклассники	Лайки (Премиум)	7481.25	3076	Wibes Репосты в Одноклассники [Живые]	4987.5	30	1000							37779	Вирусный Пакет для Wibes (Лайки + Репосты + Комменты) | ✅ Живые люди	1805.00	1	1	3	1072	1072. Wibes Лайки живые, медленные	9000.00	5	200	2	177	♻ ʏᴛ Репосты в Одноклассники	80.00	100	100000	2							26422	YT Репосты Видео [Одноклассники | 0-1/Ч | 50М/Д | Гарантия 90Д]	0.29	50	500000000	2						
Instagram	Лайки (Премиум)	92.85	2566	Instagram лайки [РУ+СНГ] [30 Дней докрут по кнопке♻️]	61.8988	10	50000							33660	Лайки для Instagram (Пост / Рилс / Видео) | Gold Качество 🏆	428.45	10	50000	5	93	93. ♛Instagram Лайки + Охват [20к]	90.96	10	20000	2													32466	YT Лайки Реферальные [Instagram.com | HQ | 0-1/Ч | 50К/Д | Списания Возможны | Гарантия 90Д]	0.68	10	50000	5						
Rutube	Лайки (Премиум)	280.58	1876	Rutube Лайки на Видео [Быстрый старт] [Гарантия 30♻️]	187.05	10	149999							33399	Лайки для пессимизации (понижения позиций) видео в YouTube | Старт 0-24 часа | Максимальный заказ 6,000 лайков	23.75	50	5000	3	68	68. Facebook Лайки на страницу - быстрый старт	57.47	100	10000	3							498	Лайки - Видео ⚡️⚡️	139.00	10	10000	2	29355	Rutube Лайки [Видео | 0-3/Ч | 1К/Д | Списания Возможны | Без Гарантии]	2.23	10	149999	6						
YouTube	Лайки (Премиум)	156.48	2936	YouTube Лайки [Crypto] [Реальные] [Гарантия 365♻️]	104.3193	20	100000							37366	YouTube — Лайки на прямой эфир (Стабильные) / 🛡️ Гарантия от списаний	380.00	10	50000	3	765	765. TikTok Лайки + Гарантия♻️⭐⭐⭐	23.78	10	10000000	2	364	ɪɢ Автолайки реальные (быстрые)	24.00	10	500000	2							33223	TikTok Лайки [Дешевые | HQ | 0-1/Ч | 30К/Д | Списания Возможны | Гарантия 60Д]	0.09	10	500000	2						
Вконтакте	Лайки (Стандарт лайки на клип/vkvideo)	7481.25	3075	Wibes Репосты в ВКонтакте [Живые]	4987.5	30	1000							37779	Вирусный Пакет для Wibes (Лайки + Репосты + Комменты) | ✅ Живые люди	1805.00	1	1	3	1072	1072. Wibes Лайки живые, медленные	9000.00	5	200	2	100	ᴛᴛ Репосты (сохранения) живые Ru	130.00	10	50000	2							33839	Wibes Лайки [Живые | Вайб/Пост | 0-12/Ч | 50/Д | Списания Возможны | Без Гарантии]	6.53	1	10000	2						
Twitter (x)	Лайки (Стандарт)	564.79	1665	Twitter Лайки [Быстрый старт + гарантия 30 ♻️]	376.5274	10	1000							40204	Twitter (X) | Лайки [Крипто Интерес] [Сервер 2]	226.10	10	1000	5	68	68. Facebook Лайки на страницу - быстрый старт	57.47	100	10000	3													27512	Фолловеры для Twitter [Живые | 0-24/Ч | 200-400/Д | Списания Возможны | Гарантия 90Д]	49.92	10	1000	5						
Likee	Лайки (Стандарт)	409.5	2493	Likee Лайки [Живые - Офферы]	182	5	10000							31121	YouTube (YT) | Лайки [Россия 🇷🇺] [👤 Живые (Офферы)]	741.00	20	5000	3	988	988. Likee Лайки	866.94	50	50000	2	1552	ᴠᴋ Автолайки живые	210.00	5	10000	5	115	Лайки - Живые ⚡️ ★	299.00	10	1000	2	32855	TikTok Лайки [Живые и Боты | 0-15/М | 20К/Д | Списания Возможны | Без Гарантии]	0.08	10	1000000	2						
